                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.7914,                 1.1941,                 1.0386,                0.95355,                0.83344,                0.90551,                0.79554,                0.66175,                0.52734,                0.91619,              0.0033307,              0.0033307,              0.0033307
                      2,                0.80276,                0.67638,                 1.0276,                0.94178,                0.79636,                0.88155,                0.74975,                0.76912,                0.63552,                 0.9777,               0.006631,               0.006631,               0.006631
                      3,                0.91631,                0.78388,                 1.0771,                0.91165,                0.78101,                 0.8738,                0.70743,                 0.8879,                0.78041,                  1.044,              0.0098984,              0.0098984,              0.0098984
                      4,                0.98003,                0.83163,                 1.1164,                0.94447,                0.80467,                0.88844,                0.73815,                0.82043,                0.64388,                 1.0082,              0.0098515,              0.0098515,              0.0098515
                      5,                0.92739,                0.76083,                 1.0888,                0.94282,                0.79604,                0.88616,                0.73645,                0.81148,                0.64884,                 1.0069,              0.0098515,              0.0098515,              0.0098515
                      6,                0.88606,                0.71166,                  1.069,                 0.9654,                 0.7938,                0.88851,                0.75882,                0.76691,                 0.5971,                0.97924,               0.009802,               0.009802,               0.009802
                      7,                0.85363,                0.67126,                 1.0532,                0.94351,                0.82769,                0.90233,                0.78262,                0.71483,                0.55629,                0.96024,              0.0097525,              0.0097525,              0.0097525
                      8,                0.82789,                0.64607,                  1.039,                0.95572,                0.84175,                0.91273,                0.80025,                0.67691,                 0.5268,                0.94124,               0.009703,               0.009703,               0.009703
                      9,                0.80549,                0.62563,                   1.03,                0.94826,                0.84367,                0.91214,                0.79662,                0.67785,                0.52671,                0.94335,              0.0096535,              0.0096535,              0.0096535
                     10,                0.79349,                0.60857,                 1.0206,                0.93954,                0.86445,                0.91901,                  0.808,                0.64974,                0.49589,                0.92145,               0.009604,               0.009604,               0.009604
                     11,                0.77658,                 0.5919,                 1.0138,                0.95455,                0.85262,                0.91868,                 0.8166,                0.65376,                0.47611,                0.93367,              0.0095545,              0.0095545,              0.0095545
                     12,                0.76596,                0.57829,                 1.0109,                 0.9537,                0.86274,                 0.9287,                0.82446,                0.62611,                0.47151,                0.91867,               0.009505,               0.009505,               0.009505
                     13,                0.75408,                0.57315,                 1.0056,                0.96334,                0.85678,                0.92162,                0.82562,                0.61762,                0.45939,                0.91538,              0.0094555,              0.0094555,              0.0094555
                     14,                0.74415,                0.55908,                0.99853,                0.95511,                0.88427,                0.93538,                0.83543,                0.60176,                0.43809,                0.90486,               0.009406,               0.009406,               0.009406
                     15,                0.74274,                0.55137,                0.99729,                0.95781,                0.87094,                0.92771,                0.83588,                0.59275,                 0.4316,                0.89882,              0.0093565,              0.0093565,              0.0093565
                     16,                0.73141,                0.54428,                0.99452,                0.95588,                0.87276,                0.92705,                0.83761,                0.57893,                0.41736,                0.89766,               0.009307,               0.009307,               0.009307
                     17,                0.72512,                0.53671,                0.98849,                0.96924,                0.87628,                0.93371,                0.84395,                0.57296,                0.40829,                0.89696,              0.0092575,              0.0092575,              0.0092575
                     18,                0.71502,                 0.5303,                0.98695,                0.96218,                0.87852,                0.93359,                0.84504,                0.57221,                0.40706,                0.89407,               0.009208,               0.009208,               0.009208
                     19,                 0.7092,                0.52492,                0.98215,                0.95899,                0.88203,                0.93451,                0.84772,                0.55893,                0.40721,                0.88866,              0.0091585,              0.0091585,              0.0091585
                     20,                 0.7032,                0.51969,                0.98061,                0.96378,                0.88459,                0.93642,                0.85128,                0.55572,                0.39668,                0.89136,               0.009109,               0.009109,               0.009109
                     21,                0.69698,                0.51128,                0.97471,                0.96614,                0.88491,                0.93674,                0.85411,                0.54801,                0.38888,                 0.8853,              0.0090595,              0.0090595,              0.0090595
                     22,                0.69316,                0.50876,                0.97443,                0.96734,                0.89003,                0.93909,                0.85586,                0.54762,                0.38384,                0.88784,                0.00901,                0.00901,                0.00901
                     23,                0.69191,                0.50549,                0.97396,                0.96101,                0.89035,                0.93892,                0.85792,                0.53496,                0.37896,                0.88283,              0.0089605,              0.0089605,              0.0089605
                     24,                0.69201,                0.50403,                0.97554,                 0.9624,                0.89194,                0.93885,                0.86178,                 0.5226,                0.36884,                0.87544,               0.008911,               0.008911,               0.008911
                     25,                0.68694,                0.49733,                0.97132,                0.96109,                0.89226,                0.93965,                 0.8606,                0.52194,                0.37436,                0.87613,              0.0088615,              0.0088615,              0.0088615
                     26,                0.68286,                0.49212,                0.97121,                0.96464,                0.89834,                0.94385,                0.86594,                0.51725,                0.36039,                0.87048,               0.008812,               0.008812,               0.008812
                     27,                 0.6767,                0.49114,                0.96436,                0.95977,                0.89226,                0.93826,                0.86061,                0.52157,                0.36578,                0.87599,              0.0087625,              0.0087625,              0.0087625
                     28,                0.67057,                0.48261,                0.96544,                0.96745,                0.89322,                0.93848,                0.86307,                0.51522,                0.35746,                0.87463,               0.008713,               0.008713,               0.008713
                     29,                0.66795,                0.48084,                0.96448,                0.96196,                0.89738,                0.94134,                0.86634,                0.51306,                0.35817,                0.87323,              0.0086635,              0.0086635,              0.0086635
                     30,                0.66293,                0.48026,                0.96257,                0.96427,                0.89733,                0.94371,                0.86749,                0.51101,                 0.3525,                0.87286,               0.008614,               0.008614,               0.008614
                     31,                0.66383,                0.48393,                0.96221,                 0.9663,                0.89834,                 0.9445,                0.86765,                0.51133,                0.34828,                0.87719,              0.0085645,              0.0085645,              0.0085645
                     32,                0.66378,                0.47725,                0.96235,                0.96838,                 0.9009,                0.94532,                0.87056,                0.50695,                0.34648,                0.87027,               0.008515,               0.008515,               0.008515
                     33,                 0.6569,                0.47198,                0.95825,                0.96666,                0.89898,                 0.9432,                0.86859,                0.50265,                0.34658,                0.86717,              0.0084655,              0.0084655,              0.0084655
                     34,                0.65423,                0.46831,                0.95662,                0.96166,                0.89802,                0.94286,                0.86812,                0.50218,                 0.3439,                  0.868,               0.008416,               0.008416,               0.008416
                     35,                0.65254,                0.46604,                0.95563,                0.96306,                0.90026,                0.94452,                0.87102,                0.49634,                 0.3398,                0.86565,              0.0083665,              0.0083665,              0.0083665
                     36,                0.65156,                0.46609,                0.95382,                0.96315,                0.90249,                0.94576,                0.87195,                0.49634,                0.33837,                0.86377,               0.008317,               0.008317,               0.008317
                     37,                 0.6456,                0.46581,                0.95253,                0.96574,                0.90121,                0.94558,                0.87262,                0.49554,                0.33697,                0.86292,              0.0082675,              0.0082675,              0.0082675
                     38,                 0.6457,                0.46202,                0.95327,                0.96538,                0.90026,                0.94501,                0.87155,                0.49191,                0.33779,                0.86049,               0.008218,               0.008218,               0.008218
                     39,                0.64448,                0.46116,                0.95066,                0.96379,                0.90185,                0.94584,                0.87368,                0.49029,                0.33366,                0.86071,              0.0081685,              0.0081685,              0.0081685
                     40,                0.63968,                0.45361,                0.94966,                0.96027,                0.90409,                0.94651,                0.87441,                0.48854,                0.33381,                0.86071,               0.008119,               0.008119,               0.008119
                     41,                0.64158,                0.45472,                0.95143,                0.96231,                0.90601,                0.94755,                0.87587,                0.48536,                0.33329,                0.85947,              0.0080695,              0.0080695,              0.0080695
                     42,                0.63633,                0.44972,                0.94734,                0.96589,                0.90217,                0.94725,                0.87613,                0.48306,                0.33187,                0.85909,                0.00802,                0.00802,                0.00802
                     43,                0.63263,                0.44687,                0.94521,                0.96555,                0.90537,                0.94789,                0.87754,                0.48189,                0.32941,                0.85827,              0.0079705,              0.0079705,              0.0079705
                     44,                   0.63,                0.44745,                 0.9447,                0.97035,                 0.8998,                0.94847,                 0.8778,                0.48114,                0.32921,                0.85912,               0.007921,               0.007921,               0.007921
                     45,                0.62902,                0.44426,                0.94514,                0.96689,                0.90345,                0.94804,                0.87809,                0.48117,                0.32758,                0.85985,              0.0078715,              0.0078715,              0.0078715
                     46,                0.62925,                0.44421,                0.94672,                0.96172,                0.90761,                0.94863,                0.87906,                0.48044,                0.32762,                0.86042,               0.007822,               0.007822,               0.007822
                     47,                0.62548,                0.44351,                0.94369,                 0.9611,                0.90825,                 0.9487,                0.87933,                0.47847,                0.32628,                0.86013,              0.0077725,              0.0077725,              0.0077725
                     48,                0.62764,                0.44212,                0.94494,                0.96078,                0.90857,                 0.9488,                0.87913,                0.47806,                0.32503,                0.86061,               0.007723,               0.007723,               0.007723
